GEOID,tract_name,population
17031826301,Census Tract 8263.01,3923
17031826303,Census Tract 8263.03,4068
17031730600,Census Tract 7306,3254
17031802801,Census Tract 8028.01,5041
17031818900,Census Tract 8189,4496
17197883401,Census Tract 8834.01,4018
17031827700,Census Tract 8277,2452
17031826402,Census Tract 8264.02,4728
17031811301,Census Tract 8113.01,4802
17031820400,Census Tract 8204,5556
17031828402,Census Tract 8284.02,3688
17031820902,Census Tract 8209.02,5051
17031828504,Census Tract 8285.04,5474
17031829302,Census Tract 8293.02,3633
17031640300,Census Tract 6403,6710
17031720700,Census Tract 7207,3073
17031825803,Census Tract 8258.03,5908
17031825900,Census Tract 8259,3296
17031050100,Census Tract 501,2568
17031829000,Census Tract 8290,882
17031420100,Census Tract 4201,1642
17031420200,Census Tract 4202,1781
17031420400,Census Tract 4204,1544
17031420700,Census Tract 4207,3021
17031801100,Census Tract 8011,4871
17031801200,Census Tract 8012,3651
17031821402,Census Tract 8214.02,3200
17031804706,Census Tract 8047.06,2553
17091011700,Census Tract 117,3151
17031826901,Census Tract 8269.01,1462
17031826902,Census Tract 8269.02,1255
17031803007,Census Tract 8030.07,5153
17095001000,Census Tract 10,3657
17095000200,Census Tract 2,2985
17091011800,Census Tract 118,2653
17095001300,Census Tract 13,3722
17091011600,Census Tract 116,1589
17089852607,Census Tract 8526.07,3611
17089852203,Census Tract 8522.03,4997
17089852608,Census Tract 8526.08,3703
17089854506,Census Tract 8545.06,3887
17089852005,Census Tract 8520.05,4902
17031450300,Census Tract 4503,3252
17031460200,Census Tract 4602,1948
17089850705,Census Tract 8507.05,9050
17089850704,Census Tract 8507.04,4916
17031430800,Census Tract 4308,1862
17031430500,Census Tract 4305,4098
17031430900,Census Tract 4309,1797
17031816900,Census Tract 8169,5561
17031826304,Census Tract 8263.04,2874
17031740400,Census Tract 7404,4695
17031803005,Census Tract 8030.05,2614
17031170100,Census Tract 1701,2034
17031221600,Census Tract 2216,3159
17031242100,Census Tract 2421,3976
17031110400,Census Tract 1104,4522
17031071500,Census Tract 715,6282
17031071800,Census Tract 718,2652
17001010200,Census Tract 102,3634
17001000500,Census Tract 5,1719
17001010100,Census Tract 101,4403
17031830001,Census Tract 8300.01,2432
17031830006,Census Tract 8300.06,2526
17001010400,Census Tract 104,3605
17001000202,Census Tract 2.02,2870
17001010500,Census Tract 105,3069
17001010600,Census Tract 106,5842
17031750100,Census Tract 7501,3736
17031806400,Census Tract 8064,2492
17031806501,Census Tract 8065.01,2665
17031161100,Census Tract 1611,1940
17031161200,Census Tract 1612,2820
17031827802,Census Tract 8278.02,3314
17031827804,Census Tract 8278.04,3149
17031161300,Census Tract 1613,3899
17031430400,Census Tract 4304,3031
17031430600,Census Tract 4306,1670
17031810000,Census Tract 8100,5640
17031720400,Census Tract 7204,1961
17031720500,Census Tract 7205,2086
17031720600,Census Tract 7206,1691
17031821001,Census Tract 8210.01,5205
17031812200,Census Tract 8122,3984
17031826600,Census Tract 8266,4595
17031826700,Census Tract 8267,4573
17031711300,Census Tract 7113,1462
17031711400,Census Tract 7114,2394
17031140400,Census Tract 1404,6503
17197881116,Census Tract 8811.16,3809
17197883516,Census Tract 8835.16,8095
17197881601,Census Tract 8816.01,1979
17197882802,Census Tract 8828.02,3018
17031804511,Census Tract 8045.11,2426
17043846504,Census Tract 8465.04,6350
17031807700,Census Tract 8077,6147
17111871404,Census Tract 8714.04,4389
17031807900,Census Tract 8079,4201
17031140200,Census Tract 1402,5834
17031140500,Census Tract 1405,3451
17109010402,Census Tract 104.02,3565
17109980000,Census Tract 9800,2043
17109010401,Census Tract 104.01,1031
17185957300,Census Tract 9573,3051
17141961700,Census Tract 9617,4965
17043845401,Census Tract 8454.01,3656
17001000100,Census Tract 1,4644
17001000201,Census Tract 2.01,2067
17031600700,Census Tract 6007,2591
17031600900,Census Tract 6009,3682
17031806202,Census Tract 8062.02,4998
17141961200,Census Tract 9612,7183
17141960900,Census Tract 9609,4604
17141960700,Census Tract 9607,4328
17141961400,Census Tract 9614,3975
17031838100,Census Tract 8381,1821
17031833300,Census Tract 8333,2912
17031838200,Census Tract 8382,1675
17089852201,Census Tract 8522.01,4832
17089852904,Census Tract 8529.04,2079
